"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"15000","0","10","50","0","2017","A","",41078,654185,32494225407,15244864630,158268538,955,49671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1338,3.4,6640,1.0,1296799487,4.2,705850483,4.9,15143995,10.6,28,3.0,1493,3.1
"15000","1","10","51","0","2017","A","",365,33374,2593820604,0,0,1495,77719,"",1.46,2.62,2.82,0.00,0.00,1.08,1.08,"",-17,-4.5,189,0.6,68186842,2.7,0,0.0,0,0.0,31,2.1,1612,2.1
"15000","1","101","52","0","2017","A","",1,5237,502341134,0,0,1845,95915,"",2.03,22.84,29.73,0.00,0.00,1.30,1.30,"",0,0.0,242,4.8,32213063,6.9,0,0.0,0,0.0,35,1.9,1803,1.9
"15000","1","1013","53","0","2017","A","",1,5237,502341134,0,0,1845,95915,"",5.20,24.37,31.39,0.00,0.00,1.29,1.29,"",0,0.0,242,4.8,32213063,6.9,0,0.0,0,0.0,35,1.9,1803,1.9
"15000","1","102","52","0","2017","A","",364,28137,2091479470,0,0,1429,74332,"",1.46,2.25,2.32,0.00,0.00,1.03,1.03,"",-17,-4.5,-53,-0.2,35973779,1.8,0,0.0,0,0.0,27,1.9,1416,1.9
"15000","1","1021","53","0","2017","A","",125,5102,242356577,0,0,913,47499,"",1.00,1.64,1.45,0.00,0.00,0.89,0.89,"",-3,-2.3,67,1.3,1847430,0.8,0,0.0,0,0.0,-6,-0.7,-273,-0.6
"15000","1","1022","53","0","2017","A","",1,9,219069,0,0,447,23264,"",1.93,0.30,0.10,0.00,0.00,0.33,0.33,"",0,0.0,0,0.0,7477,3.5,0,0.0,0,0.0,-23,-4.9,-1150,-4.7
"15000","1","1023","53","0","2017","A","",6,38,3635780,0,0,1824,94846,"",1.79,0.65,0.61,0.00,0.00,0.93,0.93,"",0,0.0,-3,-7.3,-256464,-6.6,0,0.0,0,0.0,-20,-1.1,-1061,-1.1
"15000","1","1024","53","0","2017","A","",20,1989,190597202,0,0,1843,95838,"",3.28,6.72,8.11,0.00,0.00,1.21,1.21,"",-4,-16.7,0,0.0,1472581,0.8,0,0.0,0,0.0,15,0.8,769,0.8
"15000","1","1025","53","0","2017","A","",14,2951,256712229,0,0,1673,86987,"",2.44,1.58,1.95,0.00,0.00,1.23,1.23,"",0,0.0,50,1.7,8550961,3.4,0,0.0,0,0.0,28,1.7,1431,1.7
"15000","1","1026","53","0","2017","A","",32,3080,117699245,0,0,735,38214,"",4.96,13.75,12.45,0.00,0.00,0.91,0.91,"",-3,-8.6,-51,-1.6,5713862,5.1,0,0.0,0,0.0,47,6.8,2451,6.9
"15000","1","1027","53","0","2017","A","",2,802,25867826,0,0,620,32247,"",2.82,38.52,25.93,0.00,0.00,0.67,0.67,"",0,0.0,-53,-6.2,-876954,-3.3,0,0.0,0,0.0,19,3.2,976,3.1
"15000","1","1028","53","0","2017","A","",164,14165,1254391542,0,0,1703,88556,"",1.63,2.05,2.23,0.00,0.00,1.09,1.09,"",-7,-4.1,-65,-0.5,19514886,1.6,0,0.0,0,0.0,34,2.0,1775,2.0
