"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","0","10","50","0","2017","A","",98903,1430588,66629721895,30432823361,184045210,896,46575,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3002,3.1,41710,3.0,3776608544,6.0,1934960512,6.8,-15050450,-7.6,26,3.0,1320,2.9
"49001","0","10","70","0","2017","A","",243,2698,94452145,49937467,293913,673,35010,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-21,-0.8,2396971,2.6,1210015,2.5,21100,7.7,22,3.4,1158,3.4
"49003","0","10","70","0","2017","A","",1361,20364,758396995,417047068,2291914,716,37243,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",52,4.0,382,1.9,28481459,3.9,12400425,3.1,-318883,-12.2,14,2.0,715,2.0
"49005","0","10","70","0","2017","A","",3625,54388,1962601130,966977452,4824866,694,36086,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",102,2.9,1458,2.8,106292759,5.7,61611983,6.8,-532697,-9.9,20,3.0,1015,2.9
"49007","0","10","70","0","2017","A","",613,8038,316637036,152639616,1135287,758,39393,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-1.9,-6,-0.1,-823533,-0.3,1861608,1.2,-155333,-12.0,-1,-0.1,-73,-0.2
"49009","0","10","70","0","2017","A","",51,373,13028946,3858112,62849,672,34961,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-31,-7.7,-92879,-0.7,177138,4.8,-5199,-7.6,48,7.7,2515,7.8
"49011","0","10","70","0","2017","A","",8364,126008,5535846425,2433362319,15295756,845,43932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",254,3.1,5092,4.2,361706107,7.0,177026113,7.8,-959115,-5.9,22,2.7,1141,2.7
"49013","0","10","70","0","2017","A","",773,7784,349298146,163508507,1823481,863,44872,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-33,-4.1,165,2.2,11231342,3.3,9309960,6.0,617758,51.2,10,1.2,503,1.1
"49015","0","10","70","0","2017","A","",237,3030,130794048,54817669,579950,830,43171,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.7,-36,-1.2,-2929924,-2.2,-2333062,-4.1,-228348,-28.3,-9,-1.1,-450,-1.0
"49017","0","10","70","0","2017","A","",251,2445,74279845,36343674,1001594,584,30380,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.4,123,5.3,5471010,8.0,3298353,10.0,-11702,-1.2,14,2.5,743,2.5
