"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","5","5112","56","0","2017","A","",567,10098,1104190936,374408148,1551767,2103,109350,"",2.40,2.69,2.22,2.43,2.16,0.82,0.82,"",55,10.7,488,5.1,65121919,6.3,27786504,8.0,-120506,-7.2,24,1.2,1221,1.1
"49005","5","5112","76","0","2017","A","",8,107,6900708,3618241,12504,1241,64543,"",0.92,0.75,0.47,0.74,0.66,0.63,0.63,"",-2,-20.0,2,1.9,344878,5.3,335335,10.2,-9665,-43.6,43,3.6,2255,3.6
"49011","5","5112","76","0","2017","A","",31,174,11368318,5360366,22717,1256,65335,"",1.55,0.53,0.28,0.44,0.38,0.52,0.52,"",1,3.3,22,14.5,1494052,15.1,531397,11.0,-5642,-19.9,5,0.4,266,0.4
"49017","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49021","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49023","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49025","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49029","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49035","5","5112","76","0","2017","A","",352,4768,515999890,182221007,813073,2081,108212,"",3.33,2.66,1.92,2.28,2.18,0.72,0.72,"",31,9.7,211,4.6,35213324,7.3,11748450,6.9,-23566,-2.8,52,2.6,2713,2.6
"49043","5","5112","76","0","2017","A","",13,48,5979101,2241919,8670,2391,124349,"",1.90,0.68,0.67,0.69,0.42,0.99,0.99,"",1,8.3,1,2.1,743997,14.2,491426,28.1,4531,109.5,264,12.4,13748,12.4
"49045","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49047","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","5","5112","76","0","2017","A","",131,4842,554492906,175574942,669734,2202,114509,"",3.45,8.01,7.34,7.23,6.97,0.92,0.92,"",14,12.0,209,4.5,24360425,4.6,12890692,7.9,-84018,-11.1,1,0.0,80,0.1
"49051","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"49053","5","5112","76","0","2017","A","",13,117,6383761,3794858,18507,1054,54796,"",0.96,0.71,0.39,0.63,0.72,0.55,0.55,"",2,18.2,30,34.5,1918377,43.0,1085511,40.1,-4828,-20.7,69,7.0,3568,7.0
"49057","5","5112","76","0","2017","A","N",6,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",4,200.0,0,0,0,0,0,0,0,0,0,0,0,0
